Question,Class
"Vedic mythology refers to an ancient settlement called Pushkalavati after Pushkal, who was the son of King Bharata in the epic Ramayan. What is the modern location of Pushkalavati?",Ht
"What is the correct Chronological Order of Nandas, Sungas, Mauryas & Hayankas dynasties of Ancient India?",Ht
Bhimbethka in Madhya Pradesh is an ancient Indian site where art prehistoric age are found preserved in rockshelters. These arts belong to,Ht
Gandhar art is a combination of ____________ ?,Ht
The Jivaka which is mentioned in Buddhist literature was one among the following?,Ht
In which of the following the philosophical and spiritual thoughts are contained?,Ht
Kavi Vatsal was a title assumed by a king belonging to which of the following dynasties?,Ht
Which pillar edict of Asoka is longest of all pillars?,Ht
Which of the following Chinese rulers built the great wall of China?,Ht
Which among the following Mahajanpada was located south most comparing to other Mahajanpadas?,Ht
Gandhara School of art is related to which of the following dynasties?,Ht
Which among the following is NOT a correct statement in context with the Gupta Era?,Ht
"With reference to the ancient history of India, which of the following is / are correct observations?",Ht
Who among the following rulers conquered the Anga Mahajanpada and merged it with Magadha?,Ht
Which among the following emperors introduced the two laws of Vyavahar Samta and Danda Samata?,Ht
 Which among the above were engraved in the Kushana coins?,Ht
The ancient Indian text Panchasiddhantika deals with the 5 principles of which among the following?,Ht
Which among the above is / are correct?,Ht
Which of the following rivers is not included in the list of Seven Rivers that graced and nourished the first Aryan settlement?,Ht
"With reference to historical evidences of ancient India, which of the following is / are correct statements?",Ht
Select the correct answer from the codes given below:,Ht
Which among the following animals was / were surely domesticated by Indus Valley People?,Ht
Which among the above statements is / are correct?,Ht
"According to ancient Indian tradition, a Veda can be divided into two parts viz. Mantra Samhita and Brahmanas.What is / are difference(s) between the two?",Ht
Which of the above statements is/are correct?,Ht
Select the correct option from the codes given below:,Ht
Who among the following is known as father of Indian archaeology?,Ht
Which of the following is associated with the iron found in the upper Ganga valley for the first time?,Ht
Which of the following are a part of proto-history? Select the correct option from the codes given below:,Ht
Which of the following were included in the battle of ten kings?,Ht
What was the unit of currency during the Rig Vedic Age?,Ht
Every Veda consists of which of the following parts? Every Veda consists of which of the following parts?,Ht
Which of the following is a collection of magic spells and charms to ward off the evil spirits and diseases?,Ht
Which of the following Brahmana recommends ‘one hundred sacred paths’?,Ht
Which of the following was the head of the board of infantry in Mauryan administration?,Ht
Which of the following was referred to as superintendent of agriculture during the Mauryan period?,Ht
Which of the following are the four sources of law mentioned by Kautilya? Select the correct option from the codes given below:,Ht
Pranaya refers to which of the following?,Ht
"On which of the following, the new material culture of the Gangetic basin was based?",Ht
From which of the following places Hathigumpha inscriptions were found?,Ht
Which of the following was a great center for the manufacturing of Shataka in the post-Mauryan times?,Ht
"Which of the following is the most celebrated Indo-Greek ruler who not only stabilised Indo-Greek power, but also extended his empire’s frontiers in India?",Ht
The Scythians attacked Bactria and entered the Indian subcontinent through which of the following passes?,Ht
Which of the following is associated with the reign of Yajna Sri Satakarni?,Ht
Which of the following kings built a stupa to house the Buddha’s relics in the city of Purushpura?,Ht
Which of the following kings court was adorned by nine famous scholars known as the Navaratnas?,Ht
Which of the following is the writer of the play Mrichchhkatikam?,Ht
Which of the following statements are correct with respect to currency during Gupta period? Select the correct option from the codes given below:,Ht
Which of the following rulers is considered as the second ruler of the Vakataka Dynasty?,Ht
Hsuan Tsang gives a detailed account of a grand assembly held in 643 CE. Where was it held?,Ht
Which of the following was called as chief commandant of the elephant force during Harsha’s administration?,Ht
Which of the following was the court-poet of Yasovarman?,Ht
Which of the following kings was defeated by the Rashtrakuta King Indra III?,Ht
Which of the following were under the direct control of Dharmapala?,Ht
Consider the following Indus Valley sites with rivers on the banks of which they were situated:,Ht
The Bodhisattva Doctrine is associated with _?,Ht
Which of the above statements is/are correct?,Ht
Which text provides information about Harsha’s Samanta System?,Ht
The Barabar caves are / were __: Choose the correct option from the codes given below:,Ht
"In which of the following stone ages, Microliths were commonly found?",Ht
Which of the following is associated with Megaliths?,Ht
Balathal is an archaeological site located in:,Ht
Who said that Tibet is the original home of Aryans?,Ht
In which of the following the only mention of the four varnas was found?,Ht
First Buddhist Council was held during the reign of which of the following kings?,Ht
Which of the following Chola kings was the first to capture Maldives?,Ht
Which of the following Jain Tirthankara have been mentioned in Rigveda?,Ht
Which among the following define the similarities between Buddhism and Jainism?,Ht
"The Bhamala Stupa, a ruined Buddhist Stupa, is located in which one of the following countries?",Ht
Which of the following ancient Tamil Kingdoms came to be known from Sangam Literature?,Ht
Which of the following book is the sequel of an epic ‘Silappadikarma’?,Ht
Which of the following is the equivalent term used for Raja in early vedic era?,Ht
Who among the following was contemporary of Pushyamitra Sunga?,Ht
Who overthrew Saka rulers from India?,Ht
